Track ID,Name,Artist,Album,Genre,Total Time (ms),Date Added,Play Count,Skip Count
1749,Higher (feat. iann dior),Clean Bandit,Higher (feat. iann dior) - Single,Electronic,203953,2023-03-17 06:17:56,18.0,6.0
1751,Say It Right,Nelly Furtado,Loose (Deluxe Version),Pop,223080,2023-03-18 18:02:08,34.0,7.0
1753,Pursuit of Happiness (Nightmare) [feat. MGMT & Ratatat],Kid Cudi,Man On the Moon: The End of Day (Expanded Version),Hip-Hop/Rap,295293,2023-03-22 15:40:49,11.0,9.0
1755,Give It to Me (feat. Justin Timberlake & Nelly Furtado),Timbaland,Shock Value (Bonus Track Version),Hip-Hop/Rap,234080,2023-04-13 21:32:50,20.0,6.0
1757,A Place with No Name,Michael Jackson,XSCAPE (Deluxe),Pop,335160,2023-05-10 21:17:56,21.0,6.0
1759,Annihilate (Spider-Man: Across the Spider-Verse),"Metro Boomin, Swae Lee, Lil Wayne & Offset",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Hip-Hop/Rap,231747,2023-06-02 16:17:01,14.0,5.0
1761,All The Way Live (Spider-Man: Across the Spider-Verse),"Metro Boomin, Future & Lil Uzi Vert",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),Soundtrack,245240,2023-06-23 16:21:02,18.0,7.0
1763,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),Soundtrack,256027,2023-06-23 16:21:44,27.0,4.0
1765,Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],"Metro Boomin, Swae Lee & NAV",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),Soundtrack,219453,2023-06-23 16:21:50,17.0,4.0
1767,All My Life (feat. J. Cole),Lil Durk,Almost Healed,Rap,223879,2023-06-23 07:24:41,21.0,5.0
1769,Beamer (Bad Boys) [feat. Rvssian],Rema,Beamer (Bad Boys) [feat. Rvssian] - Single,Afrobeats,195048,2023-06-24 03:50:09,16.0,1.0
1771,UNAVAILABLE (feat. Musa Keys),Davido,Timeless,Afrobeats,169912,2023-06-24 03:51:02,19.0,5.0
1773,Good Love,Kelly Price,Mirror Mirror,R&B/Soul,227133,2023-07-08 00:34:01,9.0,8.0
1775,Forever,Labrinth,Euphoria (Original Score from the HBO Series),Soundtrack,202536,2023-07-18 05:33:47,11.0,1.0
1777,Si përpara,Butrint Imeri,Si përpara - Single,Dance,174881,2023-07-26 20:32:42,17.0,5.0
1779,Sytë mu kanë qorru,Majk,Sytë mu kanë qorru - Single,Pop,194526,2023-07-26 20:36:48,22.0,6.0
1781,A m'don,Elvana Gjata,A m'don - Single,Pop,188598,2023-07-26 20:41:16,17.0,2.0
1783,Menemadhe,"Lyrical Son, Ledri Vula & Mc Kresha",United State of Albania,Hip-Hop/Rap,193776,2023-07-27 05:45:10,7.0,
1785,Deja Vu (feat. Lyrical Son),Kida,Deja Vu (feat. Lyrical Son) - Single,Dance,171051,2023-07-27 05:49:49,8.0,1.0
1787,Habibi (Albanian Remix),Ricky Rich & Dardan,Habibi (Albanian Remix) - Single,Hip-Hop/Rap,129590,2023-07-26 20:54:12,11.0,4.0
1789,Harrom,Dhurata Dora,Harrom - Single,Pop,215991,2023-07-26 20:57:21,12.0,1.0
1791,Rio,Ledri Vula,Rio - Single,Pop,158000,2023-07-26 21:06:46,16.0,4.0
1793,Anna,Nora Istrefi & Gjiko,Anna - Single,Dance,222422,2023-07-26 21:09:53,12.0,5.0
1795,Ferrari,Dhurata Dora,Ferrari - Single,Pop,184049,2023-07-27 19:43:56,16.0,2.0
1797,Monaco,Ledri Vula,Monaco - Single,Pop,165462,2023-07-28 04:44:28,13.0,
